winter_year,omiwatari_status,ice_cover_status,first_appearance_date,event_ids,source_ids,quality_flags,research_status,notes
1877,occurred,unknown,,1877-season_report-1,arakawa1954,historical_compilation;definitions_vary;early_definition_caution,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。
1878,occurred,unknown,,1878-season_report-1,arakawa1954,historical_compilation;definitions_vary;early_definition_caution,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。
1879,occurred,unknown,,1879-season_report-1,arakawa1954,historical_compilation;definitions_vary;early_definition_caution,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。
1880,not_observed,unknown,,1880-season_report-1,arakawa1954,historical_compilation;definitions_vary;early_definition_caution,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。
1881,occurred,unknown,,1881-season_report-1,arakawa1954,historical_compilation;definitions_vary;early_definition_caution,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。
1882,occurred,unknown,,1882-season_report-1,arakawa1954,historical_compilation;definitions_vary;early_definition_caution,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。
1883,occurred,unknown,,1883-season_report-1,arakawa1954,historical_compilation;definitions_vary;early_definition_caution,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。
1884,occurred,unknown,,1884-season_report-1,arakawa1954,historical_compilation;definitions_vary;early_definition_caution,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。
1885,occurred,unknown,,1885-season_report-1,arakawa1954,historical_compilation;definitions_vary;early_definition_caution,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。
1886,occurred,unknown,,1886-season_report-1,arakawa1954,historical_compilation;definitions_vary;early_definition_caution,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。
1887,occurred,unknown,,1887-season_report-1,arakawa1954,historical_compilation;definitions_vary;early_definition_caution,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。
1888,occurred,unknown,,1888-season_report-1,arakawa1954,historical_compilation;definitions_vary;early_definition_caution,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。
1889,occurred,unknown,,1889-season_report-1,arakawa1954,historical_compilation;definitions_vary;early_definition_caution,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。
1890,not_observed,unknown,,1890-season_report-1,arakawa1954,historical_compilation;definitions_vary;early_definition_caution,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。
1891,occurred,unknown,,1891-season_report-1,arakawa1954,historical_compilation;definitions_vary;early_definition_caution,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。
1892,occurred,unknown,,1892-season_report-1,arakawa1954,historical_compilation;definitions_vary;early_definition_caution,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。
1893,occurred,unknown,,1893-ceremony-1,arakawa1954,historical_compilation;definitions_vary;early_definition_caution,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
1894,occurred,unknown,,1894-ceremony-1,arakawa1954,historical_compilation;definitions_vary;early_definition_caution,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
1895,occurred,unknown,,1895-ceremony-1,arakawa1954,historical_compilation;definitions_vary;early_definition_caution,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
1896,occurred,unknown,,1896-ceremony-1,arakawa1954,historical_compilation;definitions_vary;early_definition_caution,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
1897,occurred,unknown,,1897-ceremony-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
1898,occurred,unknown,,1898-ceremony-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
1899,occurred,unknown,,1899-ceremony-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
1900,occurred,unknown,,1900-ceremony-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
1901,occurred,unknown,,1901-ceremony-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
1902,occurred,unknown,,1902-ceremony-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
1903,occurred,unknown,,1903-ceremony-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
1904,occurred,unknown,,1904-ceremony-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
1905,occurred,unknown,,1905-ceremony-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
1906,occurred,unknown,,1906-ceremony-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
1907,occurred,unknown,,1907-ceremony-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
1908,occurred,unknown,,1908-ceremony-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
1909,occurred,unknown,,1909-ceremony-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
1910,occurred,unknown,,1910-ceremony-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
1911,occurred,unknown,,1911-ceremony-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
1912,occurred,unknown,,1912-ceremony-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
1913,occurred,unknown,,1913-ceremony-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
1914,not_observed,unknown,,1914-season_report-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。
1915,occurred,unknown,,1915-ceremony-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
1916,not_observed,unknown,,1916-season_report-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。
1917,occurred,unknown,,1917-ceremony-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
1918,occurred,unknown,,1918-ceremony-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
1919,occurred,unknown,,1919-ceremony-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
1920,occurred,unknown,,1920-ceremony-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
1921,occurred,unknown,,1921-ceremony-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
1922,occurred,unknown,,1922-ceremony-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
1923,occurred,unknown,,1923-ceremony-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
1924,occurred,unknown,1924-01-30,1924-first_observed-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
1925,occurred,unknown,1925-01-17,1925-first_observed-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
1926,occurred,unknown,1926-01-07,1926-first_observed-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
1927,occurred,unknown,1926-12-28,1927-first_observed-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
1928,occurred,unknown,1928-01-08,1928-first_observed-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
1929,occurred,unknown,1929-01-05,1929-first_observed-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
1930,occurred,unknown,1930-01-11,1930-first_observed-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
1931,occurred,unknown,1931-01-18,1931-first_observed-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
1932,not_observed,unknown,,1932-season_report-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。
1933,occurred,unknown,1933-01-16,1933-first_observed-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
1934,occurred,unknown,1934-01-10,1934-first_observed-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
1935,occurred,unknown,1935-02-09,1935-first_observed-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
